0,12
0,22
0,27
0,29
0,61
0,78
0,80
0,91
0,112
0,155
0,159
0,160
0,179
1,8
1,10
1,19
1,23
1,47
1,49
1,50
1,80
1,164
2,18
2,30
2,44
2,48
2,60
2,81
2,86
2,113
2,138
2,139
2,150
2,176
3,15
3,33
3,42
3,50
3,56
3,59
3,60
3,65
3,67
3,109
4,24
4,32
4,47
4,65
4,80
4,106
4,115
4,122
4,155
4,162
5,16
5,36
5,42
5,64
5,75
5,83
5,86
5,107
5,121
5,134
5,138
5,160
5,165
5,183
6,8
6,44
6,52
6,72
6,73
6,148
7,18
7,32
7,73
7,78
7,112
7,113
7,120
7,171
8,31
8,47
8,116
8,136
8,139
8,146
8,167
8,181
8,183
8,187
9,10
9,16
9,28
9,38
9,44
9,86
9,95
9,140
9,165
9,179
10,64
10,83
10,95
10,108
10,125
10,158
10,167
11,18
11,21
11,38
11,39
11,55
11,60
11,80
11,139
11,175
11,185
11,187
12,14
12,16
12,36
12,74
12,90
12,91
12,105
12,187
13,25
13,44
13,69
13,84
13,87
13,92
13,119
13,144
13,153
13,161
13,165
14,22
14,26
14,29
14,40
14,59
14,76
14,77
14,81
14,87
14,119
14,129
14,161
14,169
14,173
14,174
15,23
15,96
15,109
15,129
15,133
15,163
16,48
16,52
16,54
16,56
16,96
16,106
16,124
16,161
16,162
17,26
17,46
17,56
17,58
17,76
17,98
17,111
17,126
17,176
18,54
18,57
18,101
18,126
18,130
18,132
18,151
18,164
18,182
19,20
19,91
19,111
19,123
19,139
19,151
19,164
19,175
20,29
20,60
20,83
20,87
20,90
20,97
20,110
20,133
20,135
20,145
20,146
20,170
20,175
20,180
21,22
21,44
21,50
21,95
21,114
21,144
21,152
21,160
21,162
21,185
22,34
22,52
22,57
22,79
22,97
22,98
22,126
22,132
22,161
22,172
23,30
23,100
23,116
23,143
24,58
24,102
24,105
24,120
24,141
24,158
24,173
25,26
25,28
25,59
25,75
25,81
25,132
25,147
25,182
25,187
26,30
26,46
26,74
26,90
26,123
26,161
26,172
26,187
27,105
27,125
27,135
27,147
27,149
27,155
27,170
28,34
28,35
28,37
28,54
28,89
28,98
28,111
28,114
28,143
28,161
28,164
28,174
28,185
29,31
29,43
29,62
29,123
29,129
29,140
29,155
29,180
30,60
30,75
30,115
30,133
30,150
30,162
30,179
30,182
31,43
31,44
31,59
31,70
31,95
31,102
31,105
31,114
31,142
31,147
31,158
31,164
31,168
32,33
32,35
32,55
32,95
32,105
32,128
32,132
32,160
32,172
33,45
33,51
33,58
33,72
33,100
33,107
33,108
33,120
33,132
33,138
33,171
33,183
34,43
34,46
34,116
34,125
35,39
35,55
35,82
35,125
35,156
35,171
36,60
36,75
36,77
36,93
36,116
36,135
36,145
36,152
36,171
36,173
37,45
37,53
37,56
37,66
37,91
37,110
37,116
37,132
37,150
37,155
37,168
37,176
38,61
38,80
38,82
38,83
38,110
39,47
39,80
39,83
39,136
39,163
40,51
40,64
40,69
40,70
40,85
40,108
40,180
41,42
41,45
41,58
41,69
41,75
41,97
41,98
41,105
41,128
41,134
41,139
41,152
41,156
41,162
41,168
41,172
42,56
42,60
42,62
42,108
42,132
42,170
42,176
43,51
43,68
43,72
43,76
43,101
43,116
43,152
43,155
43,166
43,175
43,183
43,185
44,96
44,149
44,169
44,184
45,59
45,90
45,92
45,104
45,113
45,114
45,119
45,186
46,67
46,71
46,90
46,93
46,103
46,109
46,120
46,134
46,145
46,154
46,160
46,167
46,175
46,179
46,180
47,55
47,58
47,65
47,110
47,122
47,128
47,173
47,186
48,88
48,96
48,122
48,124
48,127
48,130
48,137
48,138
48,169
49,72
49,75
49,77
49,81
49,88
49,102
49,114
49,128
49,131
49,160
50,70
50,72
50,134
50,150
51,80
51,101
51,103
51,126
51,141
52,55
52,71
52,75
52,83
